osm_element,osm_id,building,area_m2,lat,lon,shadow_mass,levels,height_source,osm_url
way,580428422,yes,1795.0,51.192979,71.414635,42.4,,manual,https://www.openstreetmap.org/way/580428422
way,1077499568,yes,1793.0,51.090584,71.474473,42.3,,manual,https://www.openstreetmap.org/way/1077499568
way,1076784522,yes,1791.0,51.120608,71.476992,42.3,,manual,https://www.openstreetmap.org/way/1076784522
way,921923778,yes,1790.0,51.154061,71.539545,42.3,,manual,https://www.openstreetmap.org/way/921923778
way,243299282,yes,1789.0,51.174736,71.344159,42.3,,manual,https://www.openstreetmap.org/way/243299282
way,258163708,yes,1789.0,51.038366,71.473654,42.3,,manual,https://www.openstreetmap.org/way/258163708
way,258120734,yes,1787.0,51.174874,71.458853,42.3,,manual,https://www.openstreetmap.org/way/258120734
way,1179968385,yes,1786.0,51.168285,71.531773,42.3,,manual,https://www.openstreetmap.org/way/1179968385
way,506220814,yes,1786.0,51.024994,71.455531,42.3,,manual,https://www.openstreetmap.org/way/506220814
way,1178252953,industrial,1785.0,51.171004,71.544701,42.3,,manual,https://www.openstreetmap.org/way/1178252953
way,919029745,yes,1784.0,51.149865,71.493646,42.2,,manual,https://www.openstreetmap.org/way/919029745
way,51340074,yes,1784.0,51.17332,71.456826,42.2,,manual,https://www.openstreetmap.org/way/51340074
way,1101423569,yes,1784.0,51.119698,71.516015,42.2,,manual,https://www.openstreetmap.org/way/1101423569
way,1533012121,yes,1784.0,51.200934,71.348859,42.2,,manual,https://www.openstreetmap.org/way/1533012121
way,1124566901,yes,1784.0,51.215574,71.400343,42.2,,manual,https://www.openstreetmap.org/way/1124566901
way,1104676424,yes,1782.0,51.205054,71.446978,42.2,,manual,https://www.openstreetmap.org/way/1104676424
way,258120781,yes,1779.0,51.174804,71.460581,42.2,,manual,https://www.openstreetmap.org/way/258120781
way,1431546743,yes,1778.0,51.165853,71.369789,42.2,,manual,https://www.openstreetmap.org/way/1431546743
way,1279112736,yes,1778.0,51.10397,71.400569,42.2,,manual,https://www.openstreetmap.org/way/1279112736
way,236533693,yes,1778.0,51.188853,71.402855,42.2,,manual,https://www.openstreetmap.org/way/236533693
way,506219729,yes,1776.0,51.179932,71.511182,42.1,,manual,https://www.openstreetmap.org/way/506219729
way,1104051385,yes,1773.0,51.218031,71.381686,42.1,,manual,https://www.openstreetmap.org/way/1104051385
way,1087740008,yes,1768.0,51.180755,71.398398,42.0,,manual,https://www.openstreetmap.org/way/1087740008
